,0
0,0.0
1,0.0034036415641574324
2,0.0005392716087294542
3,0.0
4,0.0003092978520832674
5,3.9249486725769216e-05
6,0.00011725724896719592
7,0.0
8,0.00014815939242936578
9,0.0
10,0.012328066573523758
11,0.0
12,8.816139151825247e-05
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.001856263055464024
21,0.0012637193059790428
22,0.0021467413349629274
23,0.0011167975106885649
24,0.0009135090945639168
25,0.00028025694110313297
26,0.0
27,0.00020647283613774934
28,0.0006464631402720732
29,0.0008566402831717583
30,0.0006570133293808928
31,0.00020020470267278454
32,0.0
33,4.142147914386801e-05
34,0.0009707936533545937
35,0.0007692605735421329
36,0.00043158154605085167
37,0.002675437263614181
38,0.008157981786213962
39,0.001557331650732994
40,0.002440522929785759
41,0.002896008433316233
42,0.0
43,0.0
44,0.0
45,0.0002047714266284999
46,0.0
47,0.0
48,0.0001758654039144458
49,0.0
50,0.0
51,0.0004523411794454463
52,0.0009101909639343982
53,0.0
54,0.0
55,0.011001496625587737
56,0.0
57,0.004739557432938023
58,0.00020728489489110275
59,0.0003315165342179069
60,0.0
61,0.0
62,0.0
63,0.0
64,0.001248824512777339
65,0.0005493699343408781
66,0.0014839728640477314
67,0.0
68,0.0
69,0.002334705572464661
70,0.0008767219373681558
71,0.0011718101193179192
72,0.0004536730887503889
73,0.00010054341003785946
74,0.0002332571761649095
75,0.0
76,0.0007986862020345315
77,0.00013347310204949063
78,0.0012938068135770456
79,0.000614211916821748
80,0.001446681591625649
81,0.0006012279770252302
82,0.0036917145502492954
83,0.0003455106533550389
84,0.00026642933423288783
85,0.001124222163140679
86,0.0
87,0.0
88,0.0004056565465230625
89,0.00043938560065429614
90,0.00035310187172956113
91,0.0005956366042720165
92,0.0006484636043099719
93,0.0009841842973532624
94,0.0002455275936334957
95,7.487803981962175e-05
96,0.0
97,0.0
98,0.0010865124676762755
99,0.0016109870993757523
100,0.0002695694249484188
101,0.0006395554279720138
102,0.0018323796552028797
103,0.00058096454740081
104,0.0010179936459145877
105,0.0
106,0.0
107,0.0001805401215689731
108,0.0001548296414475764
109,0.0
110,0.00031819413441817066
111,0.0
112,4.758509624097297e-05
113,0.00031844705416133023
114,0.0005740720979309829
115,0.0
116,0.00019633926687075766
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.00011479525601630226
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,9.252449064973956e-05
131,0.0
132,0.0
133,0.0
134,0.0
135,0.00013179499471645476
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,4.1537428752928024e-05
147,0.0
148,0.0
149,0.0
150,0.00027971689617904255
151,0.0
152,0.0
153,0.003684409246946898
154,0.0002460806970430099
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
