shap,group
0.004578444018177,20
0,20
0,20
0,20
0.003297870871288,20
0.000999669569014,20
0.003786189553765,20
0,20
0,20
0,20
0.000447314468263,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0.000195290025456,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0.000828820637632,20
0,20
0.002573946853768,20
0.001554182377556,20
0.00018060968376,20
0.000162054093727,20
0,20
0.001926058661462,20
4.85468003955766E-05,20
0.000257798177928,20
0.000866726550693,20
0.000672366460218,20
0.00179243221007,20
0.014768902333357,20
0,20
0,20
0,20
0.000175317876871,20
0,20
0,20
0,20
0,20
0,20
0,20
0.000532673003666,20
0.000655363610593,20
0,20
0.000766871304019,20
0.000283105616637,20
0,20
0.000658229718005,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0.00032605923423,20
0,20
0.000441450786667,20
0,20
0.000547538469984,20
0.0004341750595,20
0.001440681264414,20
0,20
0,20
0.001490855480373,20
0.001180577732758,20
0,20
8.84263414999962E-05,20
0,20
0,20
0,20
0,20
0.000189714646005,20
6.28946116425325E-05,20
0,20
0,20
0,20
7.3991088788992E-05,20
0,20
0,20
0,20
0,20
0.001954625202579,20
0.000328404036084,20
0.004252259508254,20
0,20
0,20
0,20
0.001199655182314,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0.000123318170757,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0.001084961712086,20
0.000334141434024,20
0,20
0.00073976969222,20
0.000729824649975,20
