,0
0,282.15555
1,317.75296
2,152.71555
3,158.88525
4,146.78542
5,1212.72
6,715.6434
7,687.85406
8,687.85406
9,178.9306
10,715.6434
11,757.7919
12,149.72113
13,1042.5574
14,925.7609
15,774.6354
16,715.6434
17,1322.2147
18,317.75296
19,182.50922
20,20703.68
21,3929.2659
22,171.98251
23,175.42216
24,635.4708
25,337.202
26,205.53502
27,472.16418
28,236.09514
29,165.30421
30,293.55463
31,162.06296
32,155.76987
33,2442.9094
34,715.6434
35,155.76987
36,3721.3743
37,162.06296
38,372.29825
39,152.71555
40,141.08556
41,165.30421
42,687.85406
43,395.08588
44,186.15941
45,152.71555
